1,34,5,50,14
2,21,34,28,14
3,36,21,47,8
4,29,38,40,19
5,23,31,43,6
6,21,24,29,14
7,21,27,44,20
8,28,36,45,22
9,25,26,48,6
10,47,37,25,9
11,40,11,26,30
12,13,28,31,30
13,21,19,37,2
14,22,26,30,26
15,48,33,43,28
16,17,16,31,5
17,24,21,37,18
18,47,18,49,4
19,26,37,40,22
20,22,38,49,5
21,13,13,43,15
22,37,21,47,18
23,48,24,35,22
24,35,27,40,11
25,33,38,42,11
26,23,35,28,29
27,40,10,43,7
28,33,31,32,30
29,31,38,48,10
30,22,18,44,29
31,45,11,31,3
32,11,10,40,20
33,12,14,46,0
34,13,39,33,14
35,43,17,45,27
36,32,27,39,4
37,41,5,40,26
38,35,18,33,9
39,27,34,40,23
40,16,6,32,16
41,31,6,45,5
42,47,28,40,10
43,34,33,49,3
44,36,35,41,1
45,33,35,32,0
46,14,39,28,20
47,23,21,41,23
48,37,35,46,25
49,26,5,29,17
50,26,34,42,19
51,19,8,31,9
52,36,25,45,3
53,20,34,46,11
54,38,25,35,22
55,31,36,25,29
56,39,32,29,17
57,13,30,26,15
58,50,40,48,6
59,32,15,45,12
60,14,35,45,24
